orgnr,wikidata_item,wikidata_label
5020528179,http://www.wikidata.org/entity/Q217595,Oxford University Press
5020720982,http://www.wikidata.org/entity/Q276345,Millicom
5020816574,http://www.wikidata.org/entity/Q126066681,Hajper
5020839642,http://www.wikidata.org/entity/Q111130002,Bookis
510707,http://www.wikidata.org/entity/Q113662265,Hamark Produktion
5164010091,http://www.wikidata.org/entity/Q17415828,Sparbanken Skåne
5164010190,http://www.wikidata.org/entity/Q5969349,Ica Banken
5164016643,http://www.wikidata.org/entity/Q131860660,Futur
5164018003,http://www.wikidata.org/entity/Q10403408,Agria
5164018599,http://www.wikidata.org/entity/Q10659628,SPP Pension & Försäkring
5164019811,http://www.wikidata.org/entity/Q18287776,Danske Bank i Sverige
5164019878,http://www.wikidata.org/entity/Q6710869,Länsförsäkringar Bank Aktiebolag
5164019969,http://www.wikidata.org/entity/Q339356,JAK Medlemsbank
5164060088,http://www.wikidata.org/entity/Q10674399,Sparbanken Öresund
5164060104,http://www.wikidata.org/entity/Q2912801,Forex
5164060922,http://www.wikidata.org/entity/Q3132183,Ikano Bank
5164061185,http://www.wikidata.org/entity/Q135294659,Sparbanken Bergslagen
5492016059,http://www.wikidata.org/entity/Q109930954,Laholms sparbank
5560000753,http://www.wikidata.org/entity/Q10716714,Volvo Powertrain
5560001421,http://www.wikidata.org/entity/Q7050878,Nordstjernan AB
5560001538,http://www.wikidata.org/entity/Q10554130,Lantmännen Reppe AB
5560001975,http://www.wikidata.org/entity/Q10560976,Liber
5560003468,http://www.wikidata.org/entity/Q1753718,Sandvik AB
5560003575,http://www.wikidata.org/entity/Q10423751,Axfood Snabbgross
5560004615,http://www.wikidata.org/entity/Q1537811,Skanska AB
5560005331,http://www.wikidata.org/entity/Q899356,Husqvarna
5560005406,http://www.wikidata.org/entity/Q7941313,Volvo Financial Services
5560008020,http://www.wikidata.org/entity/Q10650249,Rederi AB Gotland
5560013301,http://www.wikidata.org/entity/Q1467848,Holmen AB
5560015835,http://www.wikidata.org/entity/Q52579,LKAB
5560017781,http://www.wikidata.org/entity/Q10428773,Berte Qvarn
5560022831,http://www.wikidata.org/entity/Q10474979,Djursholms AB
5560025990,http://www.wikidata.org/entity/Q305786,Abba Seafood
5560028325,http://www.wikidata.org/entity/Q10405595,Aller media
5560028796,http://www.wikidata.org/entity/Q24283446,Tidnings AB Marieberg
5560028952,http://www.wikidata.org/entity/Q19977550,Fastighets Aktiebolaget Brostaden
5560032335,http://www.wikidata.org/entity/Q10510586,Guldsmeds AB
5560032921,http://www.wikidata.org/entity/Q10667444,Siemens AB
5560035213,http://www.wikidata.org/entity/Q177955,SF Studios
5560047903,http://www.wikidata.org/entity/Q10465858,Dagab
5560049727,http://www.wikidata.org/entity/Q10692133,Tekniska Verken i Linköping
5560050006,http://www.wikidata.org/entity/Q18335317,Örebro Rådhus AB
5560057738,http://www.wikidata.org/entity/Q2494842,Esab
5560058603,http://www.wikidata.org/entity/Q10535591,Ingress Media
5560063421,http://www.wikidata.org/entity/Q1703203,Trelleborg AB
5560063926,http://www.wikidata.org/entity/Q18332469,Saturnus AB
5560064361,http://www.wikidata.org/entity/Q869728,Findus
5560068024,http://www.wikidata.org/entity/Q31896138,Sievert AB
